h4,1,,50.99,1014.43,561,261454,C,3,0.18207,h4_frame_1_sec_1.00_composite.png
h4,2,,39.58,592.84,193,58226,C,3,0.24158,h4_frame_2_sec_2.00_composite.png
h4,3,,27.5,411.61,33,13887,C,2,0.19783,h4_frame_3_sec_3.00_composite.png
h4,4,,39.24,602.14,206,69535,C,3,0.27933,h4_frame_4_sec_4.00_composite.png
h4,5,,28.55,430.56,50,17825,C,2,0.1954,h4_frame_5_sec_5.00_composite.png
h4,6,,45.6,1196.76,740,494130,C,3,0.25221,h4_frame_6_sec_6.00_composite.png
h4,7,,37.66,682.45,277,88995,C,3,0.26639,h4_frame_7_sec_7.00_composite.png
h4,8,,58.97,1472.33,986,883035,C,3,0.2496,h4_frame_8_sec_8.00_composite.png
h4,9,,51.08,1198.92,746,385783,C,3,0.2248,h4_frame_9_sec_9.00_composite.png
h5,0,,22.21,395.79,6,4400,C,0,0.02397,h5_frame_0_sec_0.00_composite.png
h5,1,,49.55,718.75,289,76329,C,2,0.02768,h5_frame_1_sec_1.00_composite.png
h5,2,,41.76,544.36,142,34790,C,2,0.01994,h5_frame_2_sec_2.00_composite.png
h5,3,,41.82,485.73,100,25289,C,2,0.01764,h5_frame_3_sec_3.00_composite.png
h5,4,,46.37,537.47,145,36838,C,3,0.01564,h5_frame_4_sec_4.00_composite.png
h5,5,,51.33,679.15,277,68402,C,3,0.01297,h5_frame_5_sec_5.00_composite.png
h5,6,,46.13,584.81,190,47499,C,3,0.01247,h5_frame_6_sec_6.00_composite.png
h5,7,,28.41,413.92,31,9145,C,1,0.01263,h5_frame_7_sec_7.00_composite.png
h5,8,,45.23,616.87,217,56012,C,3,0.00697,h5_frame_8_sec_8.00_composite.png
h5,9,,19.65,379.47,5,3840,C,0,0.00326,h5_frame_9_sec_9.00_composite.png
h6,0,,30.69,460.99,62,27195,C,2,0.17013,h6_frame_0_sec_0.00_composite.png
h6,1,,29.76,428.47,43,21970,C,2,0.1706,h6_frame_1_sec_1.00_composite.png
h6,2,,47.53,802.73,385,179833,C,3,0.18481,h6_frame_2_sec_2.00_composite.png
h6,3,,30.07,429.23,47,22222,C,2,0.19247,h6_frame_3_sec_3.00_composite.png
h6,4,,50.73,983.62,547,272492,C,3,0.22391,h6_frame_4_sec_4.00_composite.png
h6,5,,55.76,1127.88,681,375010,C,3,0.23227,h6_frame_5_sec_5.00_composite.png
h6,6,,23.64,405.44,22,12911,C,1,0.19389,h6_frame_6_sec_6.00_composite.png
h6,7,,52.05,1006.84,573,258652,C,3,0.2685,h6_frame_7_sec_7.00_composite.png
